
"47885","3369, North Howe Place, Saint Mary-of-the-Woods, Vigo County","Indiana","United States","us","39.4947806968677,-87.4697946617281"
"19720","The Home Depot, Sunset Boulevard, New Castle, New Castle County","Delaware","United States of America","us","39.6701050749361,-75.5947531139768"
"33010","1118, East 2nd Avenue, Hialeah, Miami-Dade County","Florida","United States","us","25.8320970519012,-80.2778587530513"
"54451","State Highway 13, Medford, Town of Medford, Taylor County","Wisconsin","United States","us","45.1582037757533,-90.3315469349945"
"29640","275, Waterstone Drive, Canaan Land, Pickens County","South Carolina","United States","us","34.8534329413177,-82.5853049729588"
"93399",No Record,No Record,No Record,No Record,No Record
"26060","2, Deerfield Drive, Mount Echo, Ohio County","West Virginia","United States","us","40.0878406492324,-80.5457942067026"
"43950","498, Station Street, St. Clairsville, Belmont County","Ohio","United States","us","40.0823036492732,-80.9106551600218"
"95969","6161, Woodbrook Circle, Paradise, Butte County","California","United States","us","39.7638633987884,-121.605152747175"
"20139","Stagecoach Springs Road, Saint Stephens, Fauquier County","Virginia","United States","us","38.6925128808888,-77.6615527577553"
"42066","South 10th Street, Mayfield, Graves County","Kentucky","United States","us","36.7315831200405,-88.6422169635972"
"48436","South Duffield Road, Argentine Township, Gaines Township, Genesee County","Michigan","United States of America","us","42.8592602583292,-83.9005616021006"
"87501","The Lensic, 211, West San Francisco Street, Santa Fe, Santa Fe County","New Mexico","United States of America","us","35.6880001503529,-105.941074447929"
"26462","1046, Jacobs Run Road, Salem, Harrison County","West Virginia","United States","us","39.3029430416667,-80.5805744583333"
"72386","AR 118, Tyronza, Poinsett County","Arkansas","United States","us","35.4706727606974,-90.3572644804053"
"68523","Jacs Lane, Pester Ridge, Rokeby, Lancaster County","Nebraska","United States","us","40.7461937091678,-96.7592092220264"
"46610",No Record,No Record,No Record,No Record,No Record
"21320",No Record,No Record,No Record,No Record,No Record
"50551","Jennings Avenue, Lavinia, Calhoun County","Iowa","United States","us","42.4682002363284,-94.7298951407349"
"24944","Potomac Highlands Trail, Green Bank, Pocahontas County","West Virginia","United States","us","38.41933305,-79.8361415125"
"15957","Strongstown, Indiana County","Pennsylvania","United States","us","40.5424823382444,-78.8992518535008"
"26615","Copen, Braxton County","West Virginia","United States","us","38.8297366674157,-80.7244847280899"
"44630","Township Road 1212, Lake Township, Stark County","Ohio","United States of America","us","40.9270458193915,-81.402271108436"
"46988","East County Road 800 North, Twelve Mile, Cass County","Indiana","United States","us","40.8789038209505,-86.23945206726"
"21146","185, Jumpers Hole Road, Brightview Severna Park, Severna Park, Anne Arundel County","Maryland","United States of America","us","39.0983168402312,-76.5772196133616"
"72126","Sweet Home, Perry County","Arkansas","United States","us","34.9918028552148,-92.7959247711139"
"71233","2nd Street, Delta, Madison Parish","Louisiana","United States","us","32.3266370409836,-90.9273728606558"
"40320",No Record,No Record,No Record,No Record,No Record
"71837","121, West Main Street, Fouke, Miller County","Arkansas","United States","us","33.261059781281,-93.8868436452343"
"97211","Alberta Park Jogging Trail, Alberta, Vernon, Portland, Multnomah County","Oregon","United States","us","45.5655334833068,-122.645862970092"
"63334","County Road 328, New Hartford, Pike County","Missouri","United States","us","39.1620765,-91.2566275565693"
"56401","Laurel Street, Brainerd, Crow Wing County","Minnesota","United States","us","46.3566284691463,-94.1918261431211"
"97753","Brasada Ranch, 16986, Southwest Brasada Ranch Road, Crook County","Oregon","United States","us","44.1573509,-121.0482044"
"26405","County Route 2/2, Moatsville, Barbour County","West Virginia","United States","us","39.2222190755616,-79.8940990262083"
"67220","Jackson Elementary School, East Ironhorse Street, Ironhorse at Oxford, Wichita, Sedgwick County","Kansas","United States","us","37.7363139279563,-97.2664354147735"
"72013","286, Julia Hill Drive, Bee Branch, Van Buren County","Arkansas","United States","us","35.4584697957859,-92.3877811545069"
"41849","KY 805, Jenkins, Letcher County","Kentucky","United States of America","us","37.1728557255609,-82.7300032821469"
"43537","5005, Ford Street, Maumee Historic District, Maumee, Lucas County","Ohio","United States of America","us","41.5783375671677,-83.6801810221666"
"33314","5957, Southwest 42nd Place, Downtown Davie, Davie, Broward County","Florida","United States","us","26.0688199417956,-80.2263090147622"
"29646","Mays Street, Greenwood, Greenwood County","South Carolina","United States","us","34.1731210025868,-82.1504384011379"
"59648","I 15;US 287, Wolf Creek, Lewis and Clark County","Montana","United States","us","47.0088011005279,-112.056063605007"
"99110","Whittier Road, Clayton, Stevens County","Washington","United States","us","48.012839514247,-117.560506482135"
"48551",No Record,No Record,No Record,No Record,No Record
"24927","Back Mountain Road, Cass, Pocahontas County","West Virginia","United States","us","38.3919596754003,-79.9264052575907"
"17502","Bainbridge Road, Bainbridge, Lancaster County","Pennsylvania","United States of America","us","40.1003016591605,-76.6620153642545"
"39356","County Road 31, Rose Hill, Jasper County","Mississippi","United States","us","32.1520675657172,-88.9974388089471"
"83241","Turner Farms, Telluride, Caribou County","Idaho","United States","us","42.5222232459135,-111.758658328606"
"24538","Spring Mill Road, Sherwill, Campbell County","Virginia","United States","us","37.3118410081924,-78.9769836389471"
"50461","669, Maple Street, Osage, Mitchell County","Iowa","United States","us","43.2889858179647,-92.8123159544674"
"29200",No Record,No Record,No Record,No Record,No Record
"44662","Ohio &amp; Erie Canal Towpath Trail, Navarre, Stark County","Ohio","United States","us","40.7207717443404,-81.5326353153825"
"54426","Edgar, Marathon County","Wisconsin","United States","us","44.91465913712,-89.9750612138549"
"88432",No Record,No Record,No Record,No Record,No Record
"69336","598, East 10th Street, Bridgeport, Morrill County","Nebraska","United States","us","41.6655365666667,-103.09342695"
"63510",No Record,No Record,No Record,No Record,No Record
"61920","328, West Polk Avenue, Charleston, Coles County","Illinois","United States","us","39.4878257896638,-88.185246493488"
"57363","39898, Purple Heart Memorial Highway, Mitchell, Davison County","South Dakota","United States","us","43.6965545969952,-98.2586512576226"
"19398",No Record,No Record,No Record,No Record,No Record
"19055","7633, Mill Creek Parkway, Bristol Township, Bucks County","Pennsylvania","United States","us","40.1492477197181,-74.8369271693183"
"42120","Adolphus, Allen County","Kentucky","United States","us","36.6712569918885,-86.2621297844244"
"16530",No Record,No Record,No Record,No Record,No Record
"76621","County Road 3106, Abbott, Hill County","Texas","United States","us","31.883901464847,-97.0728487976122"
"37178","Upper Alsup Road, Cross Roads, Stewart County","Tennessee","United States","us","36.3420608001086,-87.7731239154142"
"36135",No Record,No Record,No Record,No Record,No Record
"47535","Baker Street, Freelandville, Knox County","Indiana","United States","us","38.8663264523567,-87.3082143183832"
"57345","Eagle Pass Ranch Headquarters, 34261, 200th Street, Hyde County","South Dakota","United States","us","44.4841557666667,-99.3287779666667"
"68823","Rainbow Trailer Court, Garfield County","Nebraska","United States","us","41.7941825921954,-99.1508897240332"
"54012","1869, 240th Street, Cylon, Saint Croix County","Wisconsin","United States","us","45.1306362296216,-92.3222301613668"
"47386","Luray, Henry County","Indiana","United States","us","40.0436253380872,-85.3804848247073"
"45654","New Plymouth, Brown Township, Vinton County","Ohio","United States","us","39.3837263631327,-82.3783622369609"
"59402","Express, 74th Street North, Cascade County","Montana","United States","us","47.5147586666667,-111.189774333333"
"75040","586, Milky Way, Garland, Dallas County","Texas","United States","us","32.9268197520473,-96.6248492900915"
"76705","Research Avenue, Lacy-Lakeview, McLennan County","Texas","United States","us","31.6108043334076,-97.1043431242852"
"67480","East Old Highway 40, New Cambria, Saline County","Kansas","United States","us","38.9118637492543,-97.4048156162215"
"62914","320, 23rd Street, Cairo Historic Park District, Cairo, Alexander County","Illinois","United States","us","37.0076535790964,-89.177679736133"
"54103","8263, Millan Road, Armstrong Creek, Town of Armstrong Creek, Forest County","Wisconsin","United States","us","45.6711248079734,-88.4775308318623"
"18825","Swistro Road, Gibson Township, Susquehanna County","Pennsylvania","United States","us","41.8178956472393,-75.5937622883435"
"92311","Mojave Freeway, North Barstow, Barstow, San Bernardino County","California","United States of America","us","34.8878655194699,-117.041849799773"
"70150",No Record,No Record,No Record,No Record,No Record
"68122","8333, Sheffield Street, Omaha, Douglas County","Nebraska","United States","us","41.330583508072,-96.0425217946664"
"30136",No Record,No Record,No Record,No Record,No Record
"47842","East Whitcomb Avenue, Klondyke, Vermillion County","Indiana","United States","us","39.6690143623535,-87.4441751592121"
"83553","Weippe, Clearwater County","Idaho","United States","us","46.3796033100437,-115.951310022458"
"56284","236th Street, Renville, Emmet Township, Renville County","Minnesota","United States","us","44.7737061328032,-95.2014718932379"
"77445","Walmart, 625, Hempstead Highway, Hempstead, Waller County","Texas","United States","us","30.0923964493226,-96.0612009467474"
"31831","Waverly Circle, Waverly Hall, Harris County","Georgia","United States","us","32.6841280973817,-84.730324557853"
"46816","7524, Ensign Court, Fort Wayne, Allen County","Indiana","United States","us","41.0167357203499,-85.093611245165"
"28039","Moore Street, East Spencer, Rowan County","North Carolina","United States","us","35.6759769318318,-80.4427493109574"
"57462","375th Avenue, Brown County","South Dakota","United States","us","45.364674,-98.701268"
"38926","Nat G. Troutt Road, Elliott, Grenada County","Mississippi","United States","us","33.6924937142857,-89.7358743571429"
"44720","1139, Pittsburg Avenue Northwest, North Canton, Stark County","Ohio","United States of America","us","40.8882820037091,-81.4203771114383"
"93642","Kaiser Pass Road, Snow Bend, Fresno County","California","United States","us","37.3174936755555,-119.047927155556"
"16878","Salem Road, Boggs Township, Clearfield County","Pennsylvania","United States","us","40.9471494106878,-78.3230117098795"
"24017","Washington Heights, Fairview, Roanoke","Virginia","United States","us","37.2952876255136,-79.9909472475139"
"92801","1098, North Chippewa Avenue, West Anaheim, Anaheim, Orange County","California","United States","us","33.8466455551351,-117.947215357657"
"58425","Cooperstown Medical Center, 122, Roberts Avenue Northeast, Cooperstown, Griggs County","North Dakota","United States","us","47.4460834340476,-98.118274789235"
"29910","77, Heather Glenn Lane, Pine Ridge, Palmetto Bluff, Beaufort County","South Carolina","United States","us","32.2447517150286,-80.9000334712178"
